국가명,국가영문명,대륙명,사업유형명,사업명(국문),사업명(영문),사업시작일,사업종료일,다년구분코드명,수혜기관명,사업연도
가나,Ghana,아프리카,KF,[아중동] 가나 가나국립대 한국학 객원교수 파견(박종수),,2018-09-01,2019-02-28,다년,Centre for Asian Studies,2018
가나,Ghana,아프리카,KF,[아중동] 2018-19 가나 가나국립대 한국학 객원교수 파견(박종수),,2019-01-01,2019-08-31,다년,University of Ghana,2019
가봉,Gabon,아프리카,KF,MBC 드라마 <대장금> 방영 사업 - 가봉,,2010-05-01,2010-05-31,단년,Teleafrica,2010
가봉,Gabon,아프리카,KF,[드라마] 가봉 MBC <내조의 여왕> 방영,,2012-03-26,2012-09-30,단년,TeleAfrica,2012
과테말라,Guatemala,북아메리카,KF,2002 과테말라 산까를로스대 한국관련 세미나 개최,,,,단년,산카를로스대,2002
과테말라,Guatemala,북아메리카,KF,2005년도 과테말라 산카를로스대 한국어 객원교수 파견,2005 Visiting Professors Program,,,단년,산카를로스대,2005
과테말라,Guatemala,북아메리카,KF,2006년도 산 카를로스대  한국어교원고용,2006 Employment of Teaching Staff Program,,,단년,과테말라 산카를로스대,2006
과테말라,Guatemala,북아메리카,KF,2009년도 산카를로스대 한국어 교원 고용,2009 Employment of Teaching Staff Program,,,단년,과테말라 산카를로스대,2009
과테말라,Guatemala,북아메리카,KF,[드라마] 과테말라 MBC <내조의 여왕> 방영,,,,단년,,2013
과테말라,Guatemala,북아메리카,KF,[말하기]과테말라 산카를로스대,,,,단년,과테말라 산카를로스대,2013
과테말라,Guatemala,북아메리카,KF,과테말라 산카를로스대 교원 고용 지원,2012 Employment of Teaching Staff Program,,,단년,과테말라 산카를로스대,2012
과테말라,Guatemala,북아메리카,KF,"과테말라 산카를로스대 한국어 교원고용(함두진,김성현)",2013 Employment of Teaching Staff Program,,,단년,과테말라 산카를로스대,2013
과테말라,Guatemala,북아메리카,KF,"KBS 드라마 <가을동화>, <겨울연가> 중남미 방영 사업 - 과테말라",,2007-01-01,2007-12-31,단년,Guatevision,2007
과테말라,Guatemala,북아메리카,KF,"KBS 드라마 <가을동화>, <겨울연가> 중남미 방영 사업 - 과테말라",,2007-03-01,2007-09-30,단년,Guatevision,2007
과테말라,Guatemala,북아메리카,KF,2007 과테말라 산 카를로스대 한국어 교원 고용 지원,2007 Employment of Teaching Staff Program,2007-10-01,2008-09-30,단년,과테말라 산카를로스대,2007
과테말라,Guatemala,북아메리카,KF,2008 과테말라 산 카를로스대 한국어 교원 고용 지원,2008  Employment of Teaching Staff Program,2008-10-01,2009-09-30,단년,과테말라 산카를로스대,2008
과테말라,Guatemala,북아메리카,KF,MBC 드라마 <대장금> 방영 사업 - 과테말라,,2009-07-01,2010-07-31,다년,Guatevision,2010
과테말라,Guatemala,북아메리카,KF,2010년도 산카를로스대 한국어 교원 고용,2010 Employment of Teaching Staff Program,2010-01-01,2010-12-31,단년,과테말라 산카를로스대,2010
과테말라,Guatemala,북아메리카,KF,과테말라 산카를로스대 한국어 교원 고용 지원,,2011-10-01,2012-09-30,단년,과테말라 산카를로스대,2011
과테말라,Guatemala,북아메리카,KF,[한국어말하기]과테말라 산카를로스국립대 한국어과(3월),,2012-02-21,2012-03-17,단년,과테말라 산카를로스대,2012
