연도,지역,금액원,금액달러
1991,국제기구,536770000,705534
1991,기타,4862821000,6391721
1991,동구 및 CIS,568035409,746629
1991,아시아,3624053655,4763477
1991,아프리카,4229628294,5559448
1991,오세아니아,668431813,878591
1991,중남미,2673678433,3514299
1991,중동,213030396,280008
1992,국제기구,508429000,644887
1992,기타,8816562000,11182854
1992,동구 및 CIS,870885623,1104624
1992,아시아,4198806937,5325732
1992,아프리카,5164052336,6550041
1992,오세아니아,1046637392,1327546
1992,중남미,2353222992,2984808
1992,중동,209711720,265997
1993,국제기구,686320687,849302
1993,기타,7618481000,9427646
1993,동구 및 CIS,1103885123,1366025
1993,아시아,6045795474,7481494
1993,아프리카,5049167842,6248197
1993,오세아니아,875746435,1083710
1993,중남미,2904499506,3594233
1993,중동,321285933,397582
1994,국제기구,1108112112,1378901
1994,기타,8377305056,10424461
1994,동구 및 CIS,1887424695,2348653
1994,아시아,8976504223,11170086
1994,아프리카,6064200997,7546105
1994,오세아니아,828634068,1031127
1994,중남미,2856161511,3554119
1994,중동,676041263,841245
1995,국제기구,1388169686,1800269
1995,기타,10195466704,13222149
1995,동구 및 CIS,2762424347,3582493
1995,아시아,11927985255,15468992
1995,아프리카,6728939558,8726529
1995,오세아니아,1106171040,1434555
1995,중남미,2788476573,3616279
1995,중동,1061486108,1376605
1996,국제기구,1273288381,1582157
1996,기타,10869241031,13505854
1996,동구 및 CIS,3937275355,4892362
1996,아시아,14963395367,18593150
1996,아프리카,6505669964,8083787
1996,오세아니아,1231808116,1530615
1996,중남미,3392981987,4216037
1996,중동,1076245395,1337316
1997,국제기구,1902914498,2000730
1997,기타,10825091812,11381535
1997,동구 및 CIS,4294945706,4515719
1997,아시아,17687777339,18596984
1997,아프리카,6878255370,7231819
1997,오세아니아,1635041985,1719088
1997,중남미,7429926395,7811848
1997,중동,2106850146,2215149
1998,국제기구,2203142399,1574933
1998,기타,10996633879,7861027
1998,동구 및 CIS,4185134157,2991775
1998,아시아,16613937711,11876600
1998,아프리카,8035801267,5744454
1998,오세아니아,1149402394,821659
1998,중남미,6551537763,4683417
