광역시도,기초지자체,아프리카 국가,아프리카 지자체,교류연도,교류유형,주요내용
서울특별시,서울특별시의회,모로코,,2023,관광교류,서울시의회_모로코 교류 협력 증진 위한 간담회 성황리 개최
서울특별시,본청,르완다,키갈리시,2022,행정 인적교류,서울과 르완다 및 수도 키갈리 교류협력
서울특별시,강남구,우간다,,2020,기타,강남구 해외아동 위해 면마스크 만들기 봉사활동 시행
서울특별시,본청,세네갈,다카르시,2019,기술 학술 정보교류,서울시 2019년 서울시 좋은 일자리 도시 국제포럼 개최
서울특별시,본청,모로코,쉐프샤우엔시,2019,기술 학술 정보교류,서울시 2019년 서울시 좋은 일자리 도시 국제포럼 개최
서울특별시,본청,말리,바마코시,2019,기술 학술 정보교류,서울시 2019년 서울시 좋은 일자리 도시 국제포럼 개최
서울특별시,본청,탄자니아,탄자니아,2019,기술 학술 정보교류,서울시 아프리카 탄자니아에 상수도 기술 전한다  코이카 신규 제안사업 추진
서울특별시,본청,모로코,쉐프샤우엔시,2018,기술 학술 정보교류,서울시 2018년 서울시 좋은 일자리 도시 국제포럼 개최
서울특별시,본청,남아프리카공화국,요하네스버그시,2018,기술 학술 정보교류,서울시 2018년 서울시 좋은 일자리 도시 국제포럼 개최
서울특별시,본청,카메룬,,2018,기타,서울시 카메룬 등에 중고 소방차량 지원
서울특별시,본청,에티오피아,아디스아바바시,2016,행정 인적교류,서울시 데리바 쿠마 시장 등 22명 대상으로 서울시 우수정책 공유 및 맞춤형 역량강화 교육 실시
서울특별시,본청,에티오피아,아디스아바바시,2016,행정 인적교류,아디스아바바 부시장 도시정책공유 국제포럼 참석
서울특별시,본청,남수단,,2016,스포츠교류,서울시  남수단 올림픽위원회 소속 남수단 스포츠 지도자 19명 대상 초청연수 진행
서울특별시,본청,남수단,,2016,협약체결,서울시 체육회_남수단 올림픽위원회 남수단 스포츠 지원 업무 협약체결
서울특별시,본청,남수단,,2016,기타,남수단 올림픽위원회 서울시청에 감사패 전달
서울특별시,본청,우간다,,2016,행정 인적교류,서울시  우간다에 청렴건설 행정시스템 공유
서울특별시,본청,남아프리카공화국,츠와네시,2015,협약체결,서울시_남아공 츠와네시 간 우호교류협력 MOU 체결
서울특별시,본청,콩고민주공화국,,2013,경제통상교류,서울시  콩고 유력바이어 초청  2차 1대1 수출상담회 개최
서울특별시,본청,콩고민주공화국,,2013,경제통상교류,서울시  콩고민주공화국 바이어 10명 초청 수출상담회 개최
서울특별시,본청,모잠비크,마푸토시,2013,행정 인적교류,서울시  모잠비크 마푸토시의 전자정부 적용 사전 타당성조사 실시
서울특별시,본청,에티오피아,아디스아바바시,2013,행정 인적교류,서울시  에티오피아 아디스아바바에 전자정부 적용 사전 타당성 조사 실시
서울특별시,구로구,콩고공화국,돌리지시,2012,행정 인적교류,돌리지시 시장을 비롯한 대표단  구로구 방문
서울특별시,본청,탄자니아,다르에스살람시,2011,기타,서울시  탄자니아 다르에스살람시에 중고 PC 100대 기증
서울특별시,본청,케냐,나이로비시,2011,행정 인적교류,서울시  케냐  탄자니아 공무원 대상 서울시 우수 전자정부 사례 공유
서울특별시,본청,탄자니아,다르에스살람시,2011,행정 인적교류,서울시  케냐  탄자니아 공무원 대상 서울시 우수 전자정부 사례 공유
서울특별시,구로구,콩고공화국,돌리지시,2011,협약체결,돌리지시 구로 스페이스 개관
서울특별시,본청,탄자니아,,2011,협약체결,서울시 EAC와 전자정부협력 MOU 체결
서울특별시,본청,우간다,,2011,협약체결,서울시 EAC와 전자정부협력 MOU 체결
서울특별시,본청,부룬디,,2011,협약체결,서울시 EAC와 전자정부협력 MOU 체결
서울특별시,본청,케냐,,2011,협약체결,서울시 EAC와 전자정부협력 MOU 체결
서울특별시,본청,르완다,,2011,협약체결,서울시 EAC와 전자정부협력 MOU 체결
서울특별시,본청,탄자니아,,2011,행정 인적교류,오세훈 전 서울시장  탄자니아  케냐  콩고 등 3개국 방문
서울특별시,본청,케냐,,2011,행정 인적교류,오세훈 전 서울시장  탄자니아  케냐  콩고 등 3개국 방문
